image_path,gabor_hist_0,gabor_hist_1,gabor_hist_2,gabor_hist_3,gabor_hist_4,gabor_hist_5,gabor_hist_6,gabor_hist_7,gabor_hist_8,gabor_hist_9,gabor_hist_10,gabor_hist_11,gabor_hist_12,gabor_hist_13,gabor_hist_14,gabor_hist_15,gabor_hist_16,gabor_hist_17,gabor_hist_18,gabor_hist_19,gabor_hist_20,gabor_hist_21,gabor_hist_22,gabor_hist_23,gabor_hist_24,gabor_hist_25,gabor_hist_26,gabor_hist_27,gabor_hist_28,gabor_hist_29,gabor_hist_30,gabor_hist_31,gabor_hist_32,gabor_hist_33,gabor_hist_34,gabor_hist_35,gabor_hist_36,gabor_hist_37,gabor_hist_38,gabor_hist_39,gabor_hist_40,gabor_hist_41,gabor_hist_42,gabor_hist_43,gabor_hist_44,gabor_hist_45,gabor_hist_46,gabor_hist_47,gabor_hist_48,gabor_hist_49,gabor_hist_50,gabor_hist_51,gabor_hist_52,gabor_hist_53,gabor_hist_54,gabor_hist_55,gabor_hist_56,gabor_hist_57,gabor_hist_58,gabor_hist_59,gabor_hist_60,gabor_hist_61,gabor_hist_62,gabor_hist_63
Datasets/wang/Images/train/class3/314.jpg,7,4,5,8,11,18,25,29,30,34,52,64,89,101,131,162,241,319,416,480,663,945,1315,1809,2682,5352,10061,12705,11146,6682,5713,5701,5366,8008,6473,3967,1895,1234,939,760,611,498,405,282,220,154,106,72,55,67,33,33,33,18,16,14,13,10,5,5,6,2,1,3
Datasets/wang/Images/train/class3/321.jpg,2,3,4,2,5,5,4,2,3,5,15,15,17,12,19,21,15,26,50,49,123,224,381,593,1006,1854,3202,6979,19629,31371,15292,7064,4349,2250,1383,873,550,331,206,113,66,39,27,20,17,7,9,3,5,10,4,4,1,6,5,7,3,3,3,5,1,4,5,3
Datasets/wang/Images/train/class3/347.jpg,6,1,6,5,12,4,11,9,6,18,13,25,29,30,47,58,66,100,155,206,240,351,460,671,905,1392,2154,4060,7310,12976,16134,16094,21037,5071,3091,1739,1070,723,519,342,270,162,127,116,101,77,61,50,31,29,22,27,18,13,11,7,7,7,9,3,0,6,0,4
Datasets/wang/Images/train/class3/378.jpg,3,9,8,12,15,18,18,26,40,56,93,102,139,179,230,291,383,540,823,1055,1601,2204,3929,6359,8478,8443,11912,21260,6094,5262,5323,6161,1535,1112,875,726,599,497,389,332,201,183,147,120,105,91,86,59,40,29,25,19,7,13,9,5,2,8,6,10,4,0,2,2
Datasets/wang/Images/train/class3/311.jpg,4,4,7,4,11,4,8,4,6,4,6,12,10,12,18,33,44,73,82,87,143,241,338,542,741,1036,1587,2529,4081,8585,13969,11311,13850,16529,12226,3193,2112,1419,989,706,468,314,218,169,131,97,67,73,52,33,11,14,11,5,12,2,14,13,9,7,4,9,4,7
Datasets/wang/Images/train/class3/307.jpg,7,5,15,17,26,39,45,82,90,109,162,176,250,338,425,573,664,878,1079,1239,1605,1919,2351,2812,3672,4984,5537,6342,7137,7659,7831,7243,7099,6122,3991,2858,2445,2010,1626,1326,1044,855,672,648,512,418,310,241,165,132,127,108,77,53,41,38,25,15,15,5,8,1,4,2
Datasets/wang/Images/train/class3/340.jpg,3,3,3,11,17,20,26,23,20,33,71,107,129,159,219,259,393,502,665,937,1164,1656,2377,3213,5419,8047,8018,9967,12555,10955,7091,5857,4916,3832,2433,1778,1371,996,827,587,450,333,242,148,106,84,63,43,31,26,19,20,11,9,8,6,7,9,6,4,7,6,5,2
Datasets/wang/Images/train/class3/331.jpg,2,4,2,4,6,11,16,21,27,37,50,45,50,98,101,168,256,339,513,791,1082,1634,2542,4086,5968,7567,9377,9173,8280,10562,10202,8299,9973,2143,1535,915,604,435,318,229,198,129,120,96,75,48,41,34,17,13,7,6,9,10,10,7,1,5,2,0,3,1,4,3
Datasets/wang/Images/train/class3/371.jpg,4,7,11,9,11,8,23,18,36,27,41,43,46,66,73,110,152,236,289,419,607,851,1196,1571,2553,4215,14393,11819,10401,22912,8847,5282,3813,2330,1620,1083,849,601,372,321,230,133,107,107,82,75,37,44,43,32,19,16,13,14,17,13,9,9,9,10,7,6,3,4
Datasets/wang/Images/train/class3/366.jpg,7,16,24,35,46,81,129,196,192,224,274,325,393,465,663,760,1081,1538,2112,3072,4463,7352,8534,8215,8681,9400,11338,10002,5014,3238,2388,1569,1157,984,726,629,521,447,337,269,260,210,170,159,122,88,64,64,51,34,32,27,14,15,13,7,13,11,13,11,13,7,5,4
Datasets/wang/Images/train/class3/379.jpg,3,1,4,2,1,2,2,4,4,7,6,12,24,23,34,41,77,107,129,175,206,340,517,699,880,1175,1470,2142,3901,5088,7340,10003,14015,13262,9299,6187,4830,3778,3154,2149,1551,1155,988,771,651,497,387,294,221,187,134,97,70,52,36,30,21,13,13,12,14,1,8,8
Datasets/wang/Images/train/class3/306.jpg,8,1,10,8,6,10,5,8,11,18,28,46,84,126,209,270,445,719,1257,2007,3021,4342,6871,13024,13997,9388,8965,7326,6806,4669,10117,1498,990,627,384,310,206,157,109,75,40,19,7,12,9,11,9,3,7,4,3,0,2,2,2,2,2,1,4,3,0,1,1,2
Datasets/wang/Images/train/class3/338.jpg,2,2,3,2,1,3,3,12,16,21,34,41,59,59,86,135,178,249,331,418,558,777,1003,1306,1763,3447,5799,8030,8097,7664,9456,19066,11649,5352,3936,2707,1702,1172,752,587,418,323,256,159,148,97,117,70,51,35,28,23,11,18,6,11,14,14,9,6,4,4,1,3
Datasets/wang/Images/train/class3/325.jpg,21,27,8,7,6,5,5,5,6,6,21,21,15,9,11,15,16,27,30,42,53,88,119,202,295,488,900,1395,2408,3993,8099,12160,15006,15026,12492,8783,6969,3102,1794,1258,842,635,497,345,252,162,131,86,60,41,39,45,41,36,57,33,7,13,17,12,7,6,2,5
Datasets/wang/Images/train/class3/353.jpg,4,2,1,6,3,7,3,5,3,5,1,4,4,5,6,17,21,50,69,88,102,142,250,366,541,780,1140,1611,2549,4040,6710,10719,15881,14212,9370,6760,12053,3413,2349,1475,1051,713,480,362,221,160,137,106,52,35,25,40,25,25,24,18,21,12,12,7,1,5,1,4
Datasets/wang/Images/train/class3/327.jpg,2,4,3,1,3,0,5,2,1,8,19,21,15,39,51,53,83,103,120,151,193,260,330,424,586,780,1005,1399,1856,2782,4186,13456,9107,8890,9808,7385,5688,5037,4748,4670,3790,2785,2040,1518,1155,817,696,535,407,317,230,187,140,120,85,54,37,42,30,25,11,0,6,3
Datasets/wang/Images/train/class3/357.jpg,3,1,2,5,2,3,3,4,8,6,11,17,37,66,85,130,173,261,397,624,904,1291,2064,3399,5469,10383,12674,10579,8452,8122,26437,2243,1206,893,665,484,340,252,163,111,81,72,55,32,14,18,11,6,12,2,2,2,6,1,1,2,3,2,3,1,3,2,2,2
Datasets/wang/Images/train/class3/318.jpg,8,8,9,7,27,45,81,95,96,121,144,187,248,324,413,503,618,717,904,1167,1486,1927,2490,3626,5332,6693,8412,10311,12242,12177,7889,4993,3320,3541,1748,1202,1037,789,588,496,374,349,255,249,184,133,119,95,84,65,60,62,55,41,31,31,28,22,12,6,8,9,4,7
Datasets/wang/Images/train/class3/364.jpg,4,3,9,10,9,9,10,12,16,17,18,38,46,59,64,88,114,139,138,218,287,320,385,565,859,1137,1793,3358,6086,10753,13162,8305,8466,7404,7765,20899,2280,878,562,432,299,231,195,132,119,121,89,77,42,49,36,38,33,21,20,18,10,10,7,13,6,4,7,10
Datasets/wang/Images/train/class3/337.jpg,3,5,8,4,10,9,17,12,26,30,25,30,40,45,71,79,105,144,219,281,384,529,672,985,1350,1790,2453,4107,6216,6602,7091,8011,7196,6356,11463,13515,7552,5378,1410,876,739,582,475,343,202,173,164,132,90,76,51,36,36,21,26,19,6,8,8,6,4,4,1,3
Datasets/wang/Images/train/class3/323.jpg,6,4,1,2,3,4,4,4,13,21,49,63,52,74,70,105,107,166,189,269,369,561,840,1190,1850,2940,5330,8753,14191,13870,9032,7390,5103,7228,12690,1634,1019,827,595,403,274,219,153,120,83,78,50,46,30,31,34,24,16,21,12,12,8,11,8,7,12,11,11,12
Datasets/wang/Images/train/class3/334.jpg,3,5,9,16,12,13,18,15,21,17,25,36,43,46,73,71,93,101,148,197,233,313,397,481,667,896,1227,1964,3012,5183,5848,8257,8168,8934,8928,7476,5546,3873,4910,15772,1437,903,704,477,353,287,262,212,158,98,73,77,59,34,16,23,19,13,13,15,11,7,4,2
Datasets/wang/Images/train/class3/350.jpg,4,9,10,7,11,15,15,12,23,26,40,43,87,119,159,219,244,362,418,670,1043,1588,2620,4173,7700,9321,11446,15125,11559,8624,6514,5150,3202,1916,1329,1001,718,562,444,400,297,230,153,133,84,90,79,54,47,31,39,48,26,15,12,11,10,3,5,1,2,3,1,2
Datasets/wang/Images/train/class3/341.jpg,3,3,4,7,7,5,9,18,21,17,31,50,67,108,107,165,222,295,418,552,723,995,1373,2088,3241,6960,8909,9380,11107,12537,8574,6231,6352,5050,3228,2545,1695,1196,814,641,458,386,316,233,192,190,155,108,113,80,80,49,40,27,32,28,22,13,6,7,5,3,6,7
Datasets/wang/Images/train/class3/309.jpg,2,3,6,1,6,7,1,22,27,22,36,47,50,91,107,114,157,183,224,234,332,364,509,619,829,963,1447,2003,3539,7427,6453,7563,7281,6354,7088,5978,4944,4581,5114,7187,6529,4366,1740,835,527,451,404,317,268,189,173,121,87,103,73,54,50,31,28,20,9,9,1,4
Datasets/wang/Images/train/class3/373.jpg,2,3,5,8,16,6,20,14,16,22,26,38,32,40,80,88,98,124,187,271,305,401,531,698,831,1124,1411,1801,2703,4607,6354,8007,11048,7784,6468,5858,4157,4498,19265,3360,1355,952,702,559,491,341,334,231,190,146,136,115,84,68,67,50,52,38,23,26,16,9,6,6
Datasets/wang/Images/train/class3/315.jpg,3,2,3,2,2,4,3,9,6,9,11,15,24,23,26,47,40,60,70,117,167,232,290,367,500,863,1239,1923,3328,5901,11136,13917,12087,12501,12348,5386,4123,3638,2460,1294,1005,764,495,405,292,248,194,144,124,93,75,62,38,34,35,35,22,16,12,8,10,7,6,4
Datasets/wang/Images/train/class3/329.jpg,5,11,8,7,10,10,11,13,17,17,21,32,28,44,52,89,124,144,187,333,402,505,717,969,1295,1894,2556,3668,5255,11309,9666,10418,9488,7732,6452,5542,4453,4499,2465,1655,1321,1025,786,639,516,398,303,248,217,160,127,104,92,65,55,43,29,25,16,18,3,7,1,3
Datasets/wang/Images/train/class3/342.jpg,7,8,9,3,4,7,5,9,13,13,13,16,12,23,44,37,66,87,122,182,227,303,398,597,862,1216,1807,3296,8815,10249,12158,13558,11286,8370,6636,5922,5247,1911,1328,886,649,423,371,276,216,177,126,93,59,41,22,23,26,11,3,4,8,1,4,5,5,0,4,5
Datasets/wang/Images/train/class3/358.jpg,7,4,4,4,5,6,8,9,16,28,25,37,63,63,77,99,151,231,291,397,546,761,1079,1395,1850,2596,3221,4479,10022,8203,8193,10432,10408,10515,8576,4483,2657,1681,1263,895,683,567,487,368,286,212,160,116,118,99,73,60,77,49,55,40,24,20,13,7,4,3,1,2
Datasets/wang/Images/train/class3/345.jpg,3,1,3,5,5,7,4,4,11,6,9,9,25,21,37,46,72,107,188,232,344,475,682,877,1320,2015,3510,8720,11118,9231,8597,10717,11326,11197,5593,3834,1999,1482,1140,869,607,498,415,228,168,144,106,104,72,30,30,18,18,10,4,0,1,2,1,0,4,1,0,2
Datasets/wang/Images/train/class3/339.jpg,4,0,3,7,3,7,3,6,9,6,9,8,19,27,33,35,62,75,114,141,233,272,370,543,799,1020,1470,2174,3627,7751,12767,15534,12422,7303,6836,5795,4204,3619,3134,2183,1918,1108,651,471,389,306,219,162,123,66,64,49,35,31,17,16,6,16,8,9,4,2,4,3
Datasets/wang/Images/train/class3/302.jpg,2,1,0,3,8,17,12,24,32,37,54,48,68,106,125,193,257,295,398,490,670,902,1221,1749,2196,2990,4112,6123,9883,12832,11073,10186,10432,4948,3828,2963,2167,1654,1344,1019,828,663,487,344,303,213,181,162,129,98,76,59,60,43,39,39,40,27,21,7,11,8,1,3
Datasets/wang/Images/train/class3/368.jpg,3,0,4,2,5,6,5,13,12,11,17,39,64,60,77,99,142,193,275,326,442,557,808,1067,1532,2439,4300,8095,14157,9031,9253,9108,16561,10788,2825,1755,1289,940,551,304,228,201,152,127,100,75,62,31,41,19,18,16,15,11,8,8,6,10,6,6,2,4,1,2
Datasets/wang/Images/train/class3/374.jpg,3,3,9,8,17,19,22,24,33,33,41,58,76,98,124,143,182,194,285,368,444,676,1055,1967,4144,7524,11599,15675,10380,8352,8012,6524,4482,10385,1874,899,677,521,374,254,166,148,108,63,57,47,28,31,22,11,13,6,9,6,8,2,3,5,0,3,1,3,3,3
Datasets/wang/Images/train/class3/352.jpg,6,12,10,17,13,23,25,35,41,49,77,76,111,148,191,270,266,355,436,589,796,1039,1441,2118,2850,3837,4946,6078,8210,9084,8484,7370,5836,7290,12796,2897,2100,1618,1278,978,769,630,555,474,371,316,238,241,199,156,127,96,85,77,38,36,33,18,19,11,6,8,1,4
Datasets/wang/Images/train/class3/367.jpg,10,8,12,7,8,11,13,19,28,17,17,20,21,22,26,26,21,28,32,56,61,100,110,220,447,1161,2895,7365,15847,29246,25490,8371,3187,1477,716,367,235,111,78,60,62,36,37,39,18,12,12,9,16,11,7,5,3,8,5,7,5,11,7,9,5,8,8,18
Datasets/wang/Images/train/class3/370.jpg,4,1,1,5,3,3,3,7,8,5,17,16,25,26,43,47,68,112,129,178,229,350,476,731,1049,1324,2131,3630,6045,8545,11023,13518,17762,12217,6513,3895,2881,1677,1141,809,508,379,228,130,96,65,66,46,36,23,27,18,10,3,2,3,2,3,3,2,3,1,1,2
Datasets/wang/Images/train/class3/300.jpg,5,3,4,10,5,6,12,9,15,21,24,35,71,94,104,174,260,295,439,574,764,1056,1590,2528,4796,12452,23112,18109,10224,6617,4430,2906,2016,1451,1024,777,629,378,314,223,196,127,100,62,50,39,37,29,22,16,13,6,12,12,4,8,3,2,0,2,2,2,2,2
Datasets/wang/Images/train/class3/365.jpg,3,5,2,3,1,6,3,4,8,10,10,21,26,40,59,79,89,134,207,224,304,425,520,734,941,1387,1961,2652,3592,5003,6568,8902,11284,13395,9836,7673,6070,4653,3095,2187,1685,1140,835,576,463,351,271,203,158,113,99,72,43,45,31,28,28,13,9,14,3,5,0,3
Datasets/wang/Images/train/class3/377.jpg,7,7,10,24,34,32,54,68,103,99,148,196,266,383,442,518,740,824,1103,1423,1660,2509,3755,4469,6198,8116,10485,8116,6686,6750,7723,6938,5168,3618,2379,1603,1261,835,702,565,480,348,297,249,215,157,120,89,77,62,59,38,21,16,15,10,6,6,5,6,2,4,2,3
Datasets/wang/Images/train/class3/305.jpg,8,0,8,9,13,10,17,23,45,39,57,51,80,102,152,205,246,325,431,529,639,841,1230,2041,3323,5531,8035,8588,9864,10010,13771,11966,4677,4579,2872,2064,1310,953,722,569,488,394,307,275,213,131,156,91,60,44,34,34,26,17,19,17,16,12,16,5,4,2,5,3
Datasets/wang/Images/train/class3/326.jpg,4,4,2,6,15,23,29,42,63,68,83,92,153,216,306,448,666,945,1253,1928,3078,5899,7497,8998,13783,12353,13000,9603,6191,4073,2372,1458,919,636,440,374,280,197,163,137,102,68,70,52,57,50,30,20,13,5,11,3,2,2,3,2,0,4,3,1,3,2,2,2
Datasets/wang/Images/train/class3/351.jpg,4,4,4,8,7,9,10,29,32,31,68,92,131,161,215,268,322,417,626,885,1192,1584,2134,3017,4830,9779,8958,8004,8097,6668,7084,7983,7196,4186,3383,3670,1728,1283,949,756,591,472,304,251,209,148,125,99,72,65,48,37,22,16,9,8,4,5,5,1,1,4,2,2
Datasets/wang/Images/train/class3/312.jpg,8,6,5,11,9,4,8,8,14,7,23,26,42,70,84,109,167,224,274,463,693,893,1123,1417,2046,2619,3492,5362,7310,9370,10949,13162,10010,6884,7189,5048,3721,1244,940,763,584,445,320,223,215,159,125,115,71,59,54,21,27,28,16,9,10,6,4,3,8,1,1,3
Datasets/wang/Images/train/class3/328.jpg,11,9,9,15,20,21,26,48,58,89,97,135,184,193,335,393,601,734,917,1241,1570,2112,3111,5279,5977,6501,7070,7457,7816,9225,12228,8270,5052,3324,2109,1513,1132,818,587,442,408,286,225,155,138,95,58,38,25,36,19,17,19,11,9,6,6,6,4,3,3,2,1,5
Datasets/wang/Images/train/class3/354.jpg,3,3,8,11,20,24,17,33,40,48,64,97,103,145,199,263,349,423,512,662,889,1199,1812,3082,4709,5627,6344,7535,8935,8804,6762,4978,4414,10232,10668,2891,1670,1015,802,625,504,420,321,253,198,127,140,94,62,41,23,21,22,11,7,10,6,3,6,4,4,3,4,3
Datasets/wang/Images/train/class3/303.jpg,3,1,0,5,6,5,4,7,11,13,10,18,28,30,39,53,81,128,179,216,310,497,602,874,1310,2113,5189,15846,18944,16836,11094,8981,5325,3069,2196,1247,834,533,450,329,254,156,117,67,68,52,34,31,30,17,14,12,4,9,2,2,3,2,3,1,3,1,3,3
Datasets/wang/Images/train/class3/332.jpg,2,0,6,12,8,9,13,34,28,41,42,61,78,106,127,135,230,316,455,588,775,1070,1670,3103,5344,9599,20813,10443,8663,7972,6460,6373,4377,3442,1602,1049,738,499,371,343,268,207,166,147,106,95,92,61,50,26,22,22,13,8,5,3,1,1,4,2,2,2,2,2
Datasets/wang/Images/train/class3/301.jpg,5,4,4,6,4,3,15,19,22,32,26,46,36,52,68,73,95,152,237,264,353,454,538,643,1071,1418,2077,3182,6307,8345,7068,7435,7430,5858,6001,10021,11851,7384,3676,1858,945,678,490,388,333,291,199,151,138,104,94,76,65,66,39,32,20,17,9,7,12,5,9,3
Datasets/wang/Images/train/class3/324.jpg,4,3,1,5,5,8,15,11,20,26,27,20,48,47,99,139,158,184,258,321,364,475,637,823,1065,1578,2183,4552,10733,7814,9931,12678,9549,8719,8133,6245,3507,1998,1286,867,689,614,484,410,350,308,222,184,120,98,62,59,35,18,26,20,24,9,8,8,6,5,4,5
Datasets/wang/Images/train/class3/369.jpg,2,2,1,10,10,11,6,15,17,12,10,24,26,27,42,98,125,163,206,232,252,400,572,1003,2055,3313,5918,10449,16503,16564,14454,10149,5582,3386,2153,1361,914,555,374,241,163,111,100,78,75,61,64,67,60,67,48,47,35,24,13,12,9,7,7,12,2,0,2,3
Datasets/wang/Images/train/class3/344.jpg,3,2,5,5,9,7,12,8,20,18,23,20,27,43,41,68,87,169,229,337,435,530,715,964,1256,1726,2600,3800,8181,13889,12413,13753,8944,9658,4549,3184,2311,1882,1419,1065,876,684,552,355,264,208,163,146,139,95,72,70,61,45,52,31,16,21,9,12,9,9,4,4
Datasets/wang/Images/train/class3/362.jpg,5,1,1,3,4,3,9,6,9,13,18,30,38,43,67,99,110,153,210,275,367,532,719,1033,1572,2423,3955,10425,10072,9739,9770,8171,8412,7717,5886,5041,3274,1802,1408,1040,795,641,526,384,291,263,179,162,123,103,77,68,41,47,32,28,27,17,5,12,12,10,3,3
Datasets/wang/Images/train/class3/310.jpg,4,3,2,6,8,11,28,39,40,80,100,133,186,254,347,502,674,902,1107,1330,1855,2501,3629,7638,9421,7527,6785,6642,10816,14722,5840,3518,2582,1894,1538,1161,1046,766,600,439,332,296,233,151,119,107,80,70,47,33,42,17,14,16,26,15,7,5,4,3,1,2,2,6
Datasets/wang/Images/train/class3/313.jpg,9,2,7,11,29,38,28,37,50,77,107,129,148,176,284,347,407,491,613,797,943,1156,1588,2064,3136,5269,5785,7476,9035,7835,7489,6765,5699,7657,9590,4612,2043,1385,1140,906,644,481,402,285,255,203,139,130,100,83,53,33,23,26,24,20,10,8,6,7,3,6,1,2
Datasets/wang/Images/train/class3/348.jpg,5,2,6,4,3,7,13,14,15,24,26,27,40,64,52,94,138,307,482,676,1109,1906,2846,4230,6596,10723,12793,13509,12013,9356,6568,6529,3007,1765,1053,753,469,277,227,121,94,70,62,37,27,26,20,17,13,11,9,12,10,11,5,3,4,3,5,2,3,4,2,5
Datasets/wang/Images/train/class3/316.jpg,2,1,3,3,0,6,8,6,13,12,17,21,18,28,36,55,87,94,148,155,248,354,406,530,690,960,1347,1754,2467,3281,5790,6907,9698,8364,6062,5684,7238,5545,7320,14893,2841,1214,884,618,513,453,354,260,254,169,122,88,80,53,35,37,30,11,7,10,9,4,4,3
Datasets/wang/Images/train/class3/308.jpg,24,16,11,12,13,16,15,21,21,27,34,39,29,30,32,22,53,86,124,151,194,297,332,497,700,1023,1680,2742,4563,9926,11817,13031,19745,11453,8044,3880,2384,1594,1009,692,483,337,185,165,148,103,57,46,39,34,28,28,27,23,20,36,19,28,14,30,16,30,17,12
Datasets/wang/Images/train/class3/361.jpg,6,1,3,1,2,2,3,3,3,5,9,12,25,25,40,49,43,74,78,135,134,237,321,369,556,704,905,1276,1723,2295,3348,4509,6276,6988,10002,15326,7137,5589,10570,10503,2528,1594,1169,909,694,537,411,298,197,160,112,100,82,64,47,50,29,11,7,8,0,4,2,4
